status,buildId,caption,command,startTime,endTime,errorsNumber,warningsNumber
success,2024.05.01.1,etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis,com.springer.Sonair,2022-04-29T11:45:20Z,2024-04-02T17:37:48Z,410,227
failed,2024.05.01.2,feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in,com.live.Konklab,2023-01-12T14:07:12Z,2024-03-06T06:22:26Z,611,910
success,2024.05.01.3,vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis,mil.army.Bitchip,2023-12-14T15:29:57Z,2023-09-10T13:03:31Z,255,319
failed,2024.05.01.4,sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus,gov.hhs.Mat Lam Tam,2023-07-28T13:45:17Z,2024-06-15T13:30:54Z,0,169
failed,2024.05.01.5,lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc,com.mtv.Home Ing,2022-09-05T13:15:53Z,2023-07-28T08:47:18Z,633,415
success,2024.05.01.6,aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta,be.youtu.Span,2023-11-27T05:50:17Z,2023-09-21T04:36:18Z,519,775
canceled,2024.05.01.7,felis donec semper sapien a libero nam dui proin leo,org.w3.Hatity,2023-04-26T09:06:50Z,2024-01-26T07:01:46Z,761,676
success,2024.05.01.8,sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet,com.reuters.Viva,2022-12-05T22:04:28Z,2024-03-26T15:38:01Z,227,660
failed,2024.05.01.9,iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis,jp.exblog.Zamit,2023-02-23T15:47:09Z,2024-06-15T04:42:52Z,357,599
success,2024.05.01.10,scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas,com.tripod.Konklux,2022-09-17T05:20:17Z,2024-05-02T12:16:20Z,834,912
success,2024.05.01.11,ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie,com.parallels.Aerified,2023-02-21T20:48:10Z,2023-09-10T11:43:47Z,382,277
failed,2024.05.01.12,curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam,com.gravatar.Prodder,2023-08-18T11:13:06Z,2024-06-05T07:18:14Z,469,387
success,2024.05.01.13,bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede,cn.com.china.Mat Lam Tam,2023-03-25T02:22:56Z,2024-01-04T00:35:07Z,260,82
success,2024.05.01.14,eu sapien cursus vestibulum proin eu mi nulla ac enim,org.unesco.Y-Solowarm,2023-10-31T04:28:08Z,2024-02-09T06:30:18Z,997,802
success,2024.05.01.15,gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut,jp.geocities.Zamit,2022-12-02T00:23:32Z,2023-11-18T11:45:13Z,994,150
success,2024.05.01.16,suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce,org.gnu.Bitwolf,2023-08-07T01:13:16Z,2024-01-12T08:21:08Z,978,51
canceled,2024.05.01.17,justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse,gov.nps.Greenlam,2023-02-15T06:20:22Z,2023-11-02T06:40:41Z,854,58
success,2024.05.01.18,etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut,uk.co.independent.Domainer,2023-06-18T17:08:21Z,2023-11-21T06:45:50Z,21,968
canceled,2024.05.01.19,in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis,com.homestead.Opela,2023-07-17T07:10:42Z,2023-10-29T13:52:46Z,686,647
success,2024.05.01.20,blandit non interdum in ante vestibulum ante ipsum primis in,com.blogspot.Rank,2023-01-06T16:00:18Z,2024-05-25T21:32:37Z,465,753
failed,2024.05.01.21,pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam,org.dmoz.Alpha,2022-11-18T07:57:13Z,2023-08-06T09:13:39Z,93,49
canceled,2024.05.01.22,metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis,jp.exblog.Duobam,2023-07-29T01:58:51Z,2024-05-26T09:09:38Z,899,743
failed,2024.05.01.23,scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a,com.webmd.Hatity,2023-04-09T22:49:26Z,2023-12-30T23:22:12Z,694,18
failed,2024.05.01.24,dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus,edu.virginia.Duobam,2022-12-05T11:28:30Z,2024-05-21T22:10:51Z,339,237
failed,2024.05.01.25,est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis,com.economist.Quo Lux,2022-04-23T10:42:54Z,2024-07-15T04:57:56Z,382,958
canceled,2024.05.01.26,vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum,com.shinystat.Duobam,2023-11-29T23:57:43Z,2023-09-06T12:45:28Z,532,646
failed,2024.05.01.27,duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis,com.ehow.Zaam-Dox,2023-10-07T00:14:02Z,2023-08-06T02:33:27Z,607,758
canceled,2024.05.01.28,sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis,com.canalblog.Hatity,2023-08-08T17:19:02Z,2024-06-03T16:04:11Z,360,331
canceled,2024.05.01.29,in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur,com.homestead.Veribet,2023-05-08T07:23:49Z,2023-08-14T04:40:38Z,800,971
failed,2024.05.01.30,praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi,com.cbslocal.Fixflex,2023-07-22T19:39:10Z,2023-12-04T19:47:48Z,538,642
canceled,2024.05.01.31,convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque,com.tmall.Tres-Zap,2023-10-25T12:20:34Z,2024-05-25T01:59:43Z,26,1000
failed,2024.05.01.32,sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue,org.un.Tresom,2023-10-23T10:11:30Z,2023-12-21T04:01:41Z,587,886
success,2024.05.01.33,justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum,com.homestead.Holdlamis,2022-05-16T10:52:33Z,2023-12-13T08:01:08Z,592,175
